run,ticket_id,identical,verdict,order1,order2,position_consistent,delta_cosine,expected_class,expected_team
M4_intersection_eval_conditioned_continuous,R-1014,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1138,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1162,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1187,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1248,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1473,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1591,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-267,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-417,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-618,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-642,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-666,True,0,TIE,TIE,,,,
M4_intersection_eval_conditioned_continuous,R-1008,False,1,B,A,True,0.07329064607620239,admin_rights,(GI-CF) Robot Process Automation
M4_intersection_eval_conditioned_continuous,R-1010,False,0,A,TIE,False,0.08731907606124878,vpn_access,"(GI-IaaS) Network Cloud (Azure, Remote Access)"
M4_intersection_eval_conditioned_continuous,R-103,False,0,B,TIE,False,0.08918464183807373,software_license,(GI-UX) Group
M4_intersection_eval_conditioned_continuous,R-1088,False,1,B,A,True,0.21132272481918335,software_license,(GI-UX) Group
M4_intersection_eval_conditioned_continuous,R-1100,False,-1,A,B,True,-0.05860108137130737,offboarding,(LF) IT Office Access Italy
M4_intersection_eval_conditioned_continuous,R-1136,False,1,B,A,True,0.07062441110610962,offboarding,(LF) IT Office Access Italy
M4_intersection_eval_conditioned_continuous,R-1137,False,1,B,A,True,0.08486056327819824,offboarding,(GI-UX) File & Print
M4_intersection_eval_conditioned_continuous,R-1159,False,0,TIE,B,False,-0.18166744709014893,other,(GI-UX) Account Management
M4_intersection_eval_conditioned_continuous,R-1174,False,0,TIE,B,False,-0.04583853483200073,vpn_access,(GI-UX) Network Access
M4_intersection_eval_conditioned_continuous,R-1182,False,1,B,A,True,0.25855356454849243,hardware_support,(GI-UX) Group
M4_intersection_eval_conditioned_continuous,R-1200,False,-1,A,B,True,0.04408329725265503,hardware_support,(GI-UX) Mobile Device Management
M4_intersection_eval_conditioned_continuous,R-1212,False,1,B,A,True,0.1924639344215393,admin_rights,(GI-CF) Robot Process Automation
M4_intersection_eval_conditioned_continuous,R-1221,False,0,A,A,False,0.06822961568832397,admin_rights,(GI-CF) Robot Process Automation
M4_intersection_eval_conditioned_continuous,R-1237,False,0,TIE,TIE,True,-0.022058486938476562,vpn_access,(GI-UX) Network Access
M4_intersection_eval_conditioned_continuous,R-1253,False,0,B,TIE,False,-0.007623791694641113,offboarding,(GI-IaaS) Backend Application Srv. & Project Support
M4_intersection_eval_conditioned_continuous,R-1265,False,0,TIE,A,False,0.03351888060569763,other,(GI-SaaS) Salesforce
M4_intersection_eval_conditioned_continuous,R-1266,False,1,B,A,True,0.08222430944442749,software_license,(GI-UX) Group
M4_intersection_eval_conditioned_continuous,R-1288,False,0,TIE,TIE,True,-0.02637350559234619,absence,(GI-SaaS) Salesforce
M4_intersection_eval_conditioned_continuous,R-1321,False,0,TIE,TIE,True,-0.03647893667221069,admin_rights,(BF) Information Security Office
M4_intersection_eval_conditioned_continuous,R-1330,False,0,B,B,False,0.0007433295249938965,project_tools,(GI-IaaS) Development Platform
M4_intersection_eval_conditioned_continuous,R-1343,False,0,B,TIE,False,-0.004885077476501465,software_license,(GI-IaaS) Admin - License & Asset Management
M4_intersection_eval_conditioned_continuous,R-1364,False,1,B,A,True,-0.020773276686668396,software_support,(GI-UX) Network Access
M4_intersection_eval_conditioned_continuous,R-1414,False,-1,A,B,True,-0.11347341537475586,onboarding,(GI-UX) File & Print
M4_intersection_eval_conditioned_continuous,R-1443,False,0,TIE,B,False,0.13125711679458618,other,(GI-UX) Group
